"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","sequence-specific double-stranded DNA binding","GO:1990837","7.19650434162336e-9","8.14287840826301","800","491","50","22791","AT2G45190,AT4G37750,AT2G41940,AT4G08150,AT3G06120,AT1G73360,AT5G60910,AT5G42630,AT4G36920,AT2G41370,AT1G69180,AT4G09820,AT5G57620,AT4G01460,AT1G08810,AT4G00730,AT1G26310,AT4G00180,AT1G09540,AT3G26744,AT5G39660,AT1G32640,AT1G04240,AT2G33860,AT1G69780,AT3G15510,AT5G43290,AT4G37740,AT1G72360,AT2G37630,AT5G61850,AT3G28910,AT2G36400,AT3G22780,AT2G38090,AT3G21330,AT3G58120,AT1G76420,AT3G18550,AT1G09250,AT2G14210,AT1G72570,AT1G69120,AT1G68130,AT2G42040,AT2G26580,AT1G56170,AT5G28300,AT3G55370,AT1G10120"
"GO:MF","double-stranded DNA binding","GO:0003690","9.92357123205765e-8","7.003332008564898","890","491","51","22791","AT2G45190,AT4G37750,AT2G41940,AT4G08150,AT3G06120,AT1G73360,AT5G60910,AT5G42630,AT4G36920,AT2G41370,AT1G69180,AT4G09820,AT5G57620,AT4G01460,AT1G08810,AT4G00730,AT1G26310,AT4G00180,AT1G09540,AT3G26744,AT5G39660,AT1G32640,AT1G04240,AT2G33860,AT1G69780,AT3G15510,AT5G43290,AT4G37740,AT1G72360,AT2G37630,AT5G61850,AT3G28910,AT2G36400,AT3G22780,AT2G38090,AT3G21330,AT3G58120,AT1G76420,AT3G18550,AT1G09250,AT2G14210,AT1G72570,AT3G14980,AT1G69120,AT1G68130,AT2G42040,AT2G26580,AT1G56170,AT5G28300,AT3G55370,AT1G10120"
"GO:MF","DNA binding","GO:0003677","9.464085712488719e-7","6.023921335128613","2384","491","95","22791","AT3G01140,AT5G50915,AT2G45190,AT4G37750,AT1G02065,AT2G41940,AT1G15360,AT1G46264,AT4G08150,AT5G53210,AT2G44745,AT3G13890,AT2G28550,AT3G06120,AT2G46810,AT1G73360,AT5G46880,AT5G60910,AT2G34830,AT5G42630,AT4G32980,AT4G36920,AT1G21340,AT2G41370,AT3G61250,AT1G69180,AT4G09820,AT4G24660,AT1G60060,AT5G57620,AT4G08910,AT2G28610,AT4G01460,AT1G08810,AT3G54400,AT1G27370,AT4G00730,AT1G26310,AT1G71450,AT4G00180,AT1G09540,AT3G26744,AT5G39660,AT1G32640,AT4G33280,AT1G04240,AT2G33860,AT1G46480,AT5G45980,AT1G69780,AT3G52440,AT5G06510,AT3G15510,AT5G49700,AT5G43290,AT5G23280,AT5G18000,AT2G42200,AT4G37740,AT1G72360,AT2G37630,AT5G61850,AT1G07090,AT2G45050,AT1G15910,AT3G57600,AT5G55390,AT3G28910,AT2G42300,AT2G35640,AT2G36400,AT4G04605,AT3G22780,AT2G38090,AT3G21330,AT3G58120,AT1G76420,AT3G18550,AT4G21440,AT1G09250,AT2G24700,AT2G14210,AT5G25190,AT1G72570,AT3G14980,AT1G69120,AT1G68130,AT2G42040,AT2G26580,AT1G56170,AT2G22740,AT1G76890,AT5G28300,AT3G55370,AT1G10120"
"GO:MF","fatty acid elongase activity","GO:0009922","0.000034699118638726285","4.459681556194686","26","98","5","22791","AT1G68530,AT4G34510,AT2G26640,AT2G28630,AT1G04220"
"GO:MF","hydrolase activity, acting on ester bonds","GO:0016788","0.00015965051499573996","3.796829676188443","985","159","23","22791","AT1G75900,AT5G33370,AT3G04290,AT1G71691,AT5G45670,AT1G33811,AT3G48460,AT2G42990,AT1G14700,AT3G16370,AT5G53370,AT4G37070,AT5G03810,AT5G47500,AT1G29670,AT3G14820,AT1G25230,AT2G43050,AT2G26440,AT2G38110,AT1G75880,AT2G23540,AT1G53830"
"GO:MF","glucan endo-1,3-beta-D-glucosidase activity","GO:0042973","0.00039705009047636916","3.4011547006796574","51","2017","17","22791","AT1G64760,AT5G56590,AT3G23770,AT4G34480,AT2G01630,AT3G57260,AT5G24318,AT2G05790,AT5G55180,AT4G26830,AT1G32860,AT3G57270,AT2G27500,AT5G20870,AT3G57240,AT1G11820,AT5G58480"
"GO:MF","protein kinase activity","GO:0004672","0.0004267729479055215","3.369803117241253","1105","2425","168","22791","AT1G68400,AT2G26330,AT3G58690,AT1G10470,AT5G62230,AT4G23140,AT1G10850,AT3G26700,AT4G20140,AT1G51940,AT5G58300,AT3G56370,AT5G67200,AT3G03770,AT5G10020,AT2G44830,AT5G14210,AT3G28040,AT2G20300,AT3G47570,AT1G08680,AT4G20270,AT5G04870,AT4G34220,AT2G42290,AT3G59110,AT3G04810,AT5G65700,AT1G67720,AT4G20940,AT5G16500,AT2G19130,AT4G00960,AT5G62710,AT5G55830,AT3G13690,AT4G01330,AT1G12460,AT5G45800,AT2G45340,AT5G51560,AT4G21380,AT5G58380,AT4G21390,AT4G27290,AT1G66150,AT1G20930,AT4G24740,AT4G34500,AT1G23540,AT4G23180,AT1G76540,AT3G24660,AT5G57670,AT5G07280,AT4G04540,AT5G62310,AT4G37250,AT5G56890,AT2G36570,AT4G36180,AT5G15080,AT1G17230,AT4G05200,AT4G22130,AT3G06030,AT1G68690,AT1G77720,AT5G10530,AT2G25880,AT4G32830,AT5G38560,AT2G37050,AT2G23950,AT1G18670,AT3G54180,AT2G26700,AT1G53050,AT5G13290,AT1G63430,AT1G48210,AT3G46290,AT4G26610,AT5G26751,AT4G08850,AT4G38830,AT3G19300,AT4G23230,AT1G16670,AT2G31270,AT3G52890,AT1G09450,AT1G02970,AT3G51740,AT1G01540,AT1G67580,AT2G41970,AT2G26980,AT4G32000,AT2G26730,AT1G21240,AT1G49160,AT4G29990,AT1G30570,AT3G20860,AT4G30960,AT5G26150,AT1G09000,AT4G39400,AT1G50240,AT1G48480,AT5G59010,AT5G07620,AT4G16970,AT2G46700,AT4G18640,AT3G51850,AT5G57035,AT1G56190,AT2G16250,AT1G31420,AT4G04570,AT4G23740,AT4G03390,AT2G40120,AT4G23150,AT3G51990,AT1G53730,AT3G47580,AT3G54710,AT1G34300,AT2G01820,AT5G61350,AT5G06740,AT3G59420,AT2G42960,AT3G53380,AT1G78980,AT2G01210,AT3G44200,AT5G58520,AT1G20650,AT1G72300,AT1G35670,AT5G47750,AT1G14390,AT1G08650,AT3G23750,AT5G61480,AT1G33260,AT1G67510,AT1G10940,AT1G71830,AT4G24400,AT5G18700,AT3G49670,AT1G60800,AT5G46330,AT1G07650,AT2G30980,AT5G46570,AT2G24130,AT1G56720,AT1G54610,AT2G45490,AT2G41820,AT2G45910,AT4G32300"
"GO:MF","protein serine/threonine kinase activity","GO:0004674","0.001371931876619997","2.8626674530188803","835","2425","131","22791","AT1G68400,AT2G26330,AT3G58690,AT1G10470,AT5G62230,AT4G23140,AT3G26700,AT4G20140,AT1G51940,AT3G56370,AT2G20300,AT3G47570,AT1G08680,AT4G20270,AT5G04870,AT3G59110,AT3G04810,AT5G65700,AT1G67720,AT5G16500,AT2G19130,AT4G00960,AT5G55830,AT3G13690,AT4G01330,AT1G12460,AT5G45800,AT4G21380,AT5G58380,AT4G21390,AT4G27290,AT1G66150,AT1G20930,AT4G24740,AT4G34500,AT1G23540,AT4G23180,AT1G76540,AT5G57670,AT5G07280,AT4G04540,AT5G62310,AT4G37250,AT5G56890,AT4G36180,AT5G15080,AT1G17230,AT4G05200,AT3G06030,AT1G68690,AT1G77720,AT5G10530,AT2G25880,AT4G32830,AT5G38560,AT2G37050,AT2G23950,AT1G18670,AT3G54180,AT2G26700,AT1G63430,AT1G48210,AT3G46290,AT4G26610,AT5G26751,AT4G08850,AT4G38830,AT4G23230,AT1G16670,AT2G31270,AT3G52890,AT1G09450,AT1G01540,AT1G67580,AT2G41970,AT2G26980,AT4G32000,AT1G21240,AT1G49160,AT4G29990,AT1G30570,AT3G20860,AT4G30960,AT1G09000,AT4G39400,AT1G50240,AT5G59010,AT4G16970,AT2G46700,AT4G18640,AT3G51850,AT2G16250,AT1G31420,AT4G04570,AT2G40120,AT4G23150,AT3G51990,AT3G54710,AT1G34300,AT2G01820,AT5G61350,AT5G06740,AT3G59420,AT2G42960,AT3G53380,AT2G01210,AT3G44200,AT1G20650,AT1G72300,AT1G35670,AT5G47750,AT1G14390,AT1G08650,AT3G23750,AT5G61480,AT1G33260,AT1G10940,AT1G71830,AT4G24400,AT3G49670,AT1G60800,AT5G46330,AT1G07650,AT2G30980,AT5G46570,AT2G24130,AT1G56720,AT1G54610,AT2G45490,AT2G45910,AT4G32300"
"GO:MF","protein serine kinase activity","GO:0106310","0.0013952457779959897","2.855349282981392","638","2448","106","22791","AT1G68400,AT2G26330,AT5G62230,AT4G23140,AT4G20140,AT3G56370,AT2G20300,AT3G47570,AT4G20270,AT5G04870,AT3G04810,AT5G65700,AT1G67720,AT2G19130,AT4G00960,AT5G55830,AT1G12460,AT5G45800,AT4G21380,AT5G58380,AT4G21390,AT4G27290,AT1G66150,AT1G20930,AT4G24740,AT4G34500,AT1G23540,AT4G23180,AT1G76540,AT5G57670,AT5G07280,AT4G04540,AT5G62310,AT4G37250,AT4G36180,AT5G15080,AT1G17230,AT4G05200,AT3G06030,AT1G68690,AT1G77720,AT5G10530,AT4G32830,AT5G38560,AT2G23950,AT3G54180,AT2G26700,AT1G63430,AT4G26610,AT5G26751,AT4G08850,AT4G38830,AT4G23230,AT1G16670,AT3G52890,AT1G09450,AT1G01540,AT2G26980,AT1G21240,AT1G49160,AT3G20860,AT4G30960,AT1G09000,AT4G39400,AT1G50240,AT5G59010,AT2G46700,AT4G18640,AT3G51850,AT2G16250,AT1G31420,AT4G04570,AT4G23150,AT3G51990,AT1G34300,AT2G01820,AT5G06740,AT3G59420,AT2G42960,AT3G53380,AT2G01210,AT3G44200,AT1G20650,AT1G72300,AT1G35670,AT5G47750,AT1G14390,AT1G08650,AT3G23750,AT5G61480,AT1G33260,AT1G10940,AT1G71830,AT4G24400,AT3G49670,AT1G60800,AT5G46330,AT1G07650,AT2G30980,AT5G46570,AT2G24130,AT1G54610,AT2G45490,AT2G45910,AT4G32300,AT1G28440"
"GO:MF","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553","0.002260848587137465","2.6457285221184144","393","2419","71","22791","AT1G70710,AT1G64760,AT4G03210,AT2G36870,AT4G39010,AT4G02290,AT3G57510,AT5G57560,AT4G19810,AT3G52600,AT1G13130,AT4G36360,AT3G13750,AT1G14720,AT5G56590,AT4G38650,AT5G57550,AT1G02640,AT3G23770,AT4G34480,AT1G60590,AT5G13870,AT4G23820,AT1G02800,AT5G08380,AT1G61820,AT2G01630,AT3G18080,AT3G57260,AT5G24318,AT4G18180,AT2G05790,AT5G63810,AT1G65590,AT2G32990,AT1G78060,AT5G64570,AT5G55180,AT5G47000,AT4G26830,AT1G32860,AT3G57270,AT3G10740,AT1G80170,AT2G27500,AT3G16850,AT3G44990,AT2G06850,AT3G61490,AT5G04885,AT3G62110,AT5G20870,AT3G57240,AT1G11820,AT2G20680,AT1G68560,AT1G11545,AT5G58480,AT5G34940,AT1G72000,AT1G75680,AT1G70500,AT1G02460,AT1G58370,AT4G20050,AT2G16730,AT4G35010,AT3G26380,AT5G58090,AT1G32170,AT2G28100"
